Hostname,IP,Model,IOS Version
br-americanaCONT02-temp,10.104.136.202,WS-C2960C-8PC-L,15.2(7)E12
br-americanaENG-sw1,10.104.136.205,C9200L-48P-4G,17.12.04
br-americanaLABLUB-sw1,10.104.136.203,WS-C2960C-8PC-L,15.2(7)E12
br-americanaOSS-sw,10.104.136.204,WS-C2960X-48FPS-LB,15.2(7)E12
br-americanaPLT07-sw1,10.104.136.230,1783-MS10T,15.2(5)EA
br-americanaPLT08-sw1,10.104.136.218,IE-4000-8GT8GP4G-E,15.2(8)E1
br-americanaoff0101-sw1,10.104.136.71,C9200L-48P-4G,17.09.06a
br-americanaoff0201-sw1,10.104.136.75,C9200L-48P-4G,17.12.04
br-americanaoff0202-sw1,10.104.136.76,C9200L-48P-4G,17.12.04
br-americanaoff0203-sw1,10.104.136.77,C9200L-48P-4G,17.12.04
br-americanaoff0204-sw1,10.104.136.78,C9200L-48P-4G,17.09.06a
br-americanaoff0205-sw1,10.104.136.79,C9200L-48P-4G,17.09.06a
br-americanaoff0301-sw1,10.104.136.72,C9200L-48P-4G,17.09.06a
br-americanaoff0302-sw1,10.104.136.73,C9200L-48P-4G,17.09.06a
br-americanaoff0401-sw1,10.104.136.85,C9200L-48P-4G,17.09.06a
br-americanaoff0402-sw1,10.104.136.93,C9200L-48P-4G,17.09.06a
br-americanaoff0501-sw1,10.104.136.70,C9200L-48P-4G,17.12.04
br-americanaoff0601-sw1,10.104.136.63,WS-C2960-48PST-L,12.2(55)SE12
br-americanaoff0701-sw1,10.104.136.66,C9200L-48P-4G,17.09.06a
br-americanaoff0702-sw1,10.104.136.67,C9200L-48P-4G,17.09.06a
br-americanaoff0801-sw1,10.104.136.95,C9200L-48P-4G,17.09.06a
br-americanaoff0802-sw1,10.104.136.96,C9200L-48P-4G,17.09.06a
br-americanaoff0901-sw1,10.104.136.94,C9200L-24P-4G,17.09.06a
br-americanaoff1001-sw1,10.104.136.87,C9200L-48P-4G,17.09.06a
br-americanaoff1101-sw1,10.104.136.84,C9200L-48P-4G,17.09.06a
br-americanaoff1201-sw1,10.104.136.74,C9200L-48P-4G,17.12.04
br-americanaoff1202-sw1,10.104.136.97,C9200L-48P-4G,17.09.06a
br-americanaoff1301-sw1,10.104.136.81,C9200L-48P-4G,17.12.04
br-americanaoff1302-sw1,10.104.136.82,C9200L-48P-4G,17.12.04
br-americanaoff1401-sw1,10.104.136.68,C9200L-48P-4G,17.12.04
br-americanaoff1402-sw1,10.104.136.69,C9200L-48P-4G,17.12.04
br-americanaoff1501-sw1,10.104.136.91,C9200L-48P-4G,17.12.05
br-americanaoff1502-sw1,10.104.136.92,C9200L-48P-4G,17.09.06a
br-americanaoff1601-sw1,10.104.136.98,C9200L-48P-4G,17.09.06a
br-americanaoff1701-sw1,10.104.136.83,C9200L-48P-4G,17.09.06a
br-americanaoff1702-sw1,10.104.136.65,C9200L-48P-4G,17.12.04
br-americanaoff1801-sw1,10.104.136.64,C9200L-48P-4G,17.09.06a
br-americanaoff2001-sw1,10.104.136.86,C9200L-48P-4G,17.09.06a
br-americanaoffPBX-sw1,10.104.136.80,C9200L-48P-4G,17.12.04
br-americanaDIST-swr,10.104.136.1,C9410R,17.03.04
br-americanaDIST-swr,10.104.136.1,C9410R,17.03.04
br-americanasrv01-sw1,10.104.136.51,C9500-24Y4C,17.09.04a
br-americanasrv01-sw1,10.104.136.51,C9500-24Y4C,17.09.04a
br-americanaAGG06-sw1,10.104.136.62,WS-C3750-24FS-S,12.2(55)SE12
br-americanaSRV03-sw1,10.104.136.60,WS-C3850-24T,16.12.05b
br-americanaSRV03-sw1,10.104.136.60,WS-C3850-24T,16.12.05b
br-americanaofffinalfinish-sw1,10.104.136.250,C9200L-48P-4G,17.12.04
